predictand_form,domain,predictor_family,predictor,index,scenario,n_models,n_families,r,permutation_p,LOFO_skill,bootstrap_sign_stability,q_BH,satisfies_all_criteria,predictor_enters_predictand
fractional,national,B,wet-day frequency,rx1day,ssp126,23,13,-0.115,0.6551,-0.136,0.832,0.9836,no,no
fractional,national,B,wet-day frequency,rx1day,ssp245,23,13,-0.212,0.3397,-0.186,0.83,0.6718,no,no
fractional,national,B,wet-day frequency,rx1day,ssp370,23,13,-0.062,0.8238,-0.151,0.679,0.9836,no,no
fractional,national,B,wet-day frequency,rx1day,ssp585,23,13,-0.067,0.7556,-0.276,0.629,0.9836,no,no
fractional,national,B,wet-day frequency,r95p,ssp126,23,13,-0.085,0.7958,-0.124,0.834,0.9836,no,no
fractional,national,B,wet-day frequency,r95p,ssp245,23,13,-0.31,0.157,-0.07,0.926,0.4155,no,no
fractional,national,B,wet-day frequency,r95p,ssp370,23,13,-0.064,0.8628,-0.128,0.776,0.9836,no,no
fractional,national,B,wet-day frequency,r95p,ssp585,23,13,-0.214,0.3197,-0.188,0.868,0.6543,no,no
fractional,national,C,interannual variability Rx1day,rx1day,ssp126,23,13,-0.71,0.0292,-0.346,0.767,0.1297,no,no
fractional,national,C,interannual variability Rx1day,rx1day,ssp245,23,13,0.151,0.4919,-0.155,0.858,0.8655,no,no
fractional,national,C,interannual variability Rx1day,rx1day,ssp370,23,13,-0.688,0.0262,-0.34,0.784,0.1297,no,no
fractional,national,C,interannual variability Rx1day,rx1day,ssp585,23,13,0.103,0.6749,-0.188,0.757,0.9836,no,no
fractional,national,C,interannual variability Rx1day,r95p,ssp126,23,13,-0.74,0.0326,-0.355,0.725,0.1297,no,no
fractional,national,C,interannual variability Rx1day,r95p,ssp245,23,13,0.017,0.9298,-0.131,0.575,0.9836,no,no
fractional,national,C,interannual variability Rx1day,r95p,ssp370,23,13,-0.738,0.0376,-0.398,0.736,0.1297,no,no
fractional,national,C,interannual variability Rx1day,r95p,ssp585,23,13,-0.068,0.7814,-0.302,0.574,0.9836,no,no
fractional,national,C,interannual variability R95p,rx1day,ssp126,23,13,-0.569,0.0268,-0.356,0.746,0.1297,no,no
fractional,national,C,interannual variability R95p,rx1day,ssp245,23,13,0.264,0.2248,-0.069,0.971,0.5346,no,no
fractional,national,C,interannual variability R95p,rx1day,ssp370,23,13,-0.503,0.04,-0.463,0.673,0.1318,no,no
fractional,national,C,interannual variability R95p,rx1day,ssp585,23,13,0.256,0.243,-0.127,0.936,0.5482,no,no
fractional,national,C,interannual variability R95p,r95p,ssp126,23,13,-0.605,0.032,-0.321,0.748,0.1297,no,no
fractional,national,C,interannual variability R95p,r95p,ssp245,23,13,0.05,0.8214,-0.119,0.707,0.9836,no,no
fractional,national,C,interannual variability R95p,r95p,ssp370,23,13,-0.587,0.035,-0.4,0.7,0.1297,no,no
fractional,national,C,interannual variability R95p,r95p,ssp585,23,13,0.016,0.9492,-0.23,0.552,0.9836,no,no
fractional,national,C,historical trend Rx1day,rx1day,ssp126,23,13,-0.106,0.6325,-0.122,0.835,0.9836,no,no
fractional,national,C,historical trend Rx1day,rx1day,ssp245,23,13,-0.216,0.3189,-0.126,0.855,0.6543,no,no
fractional,national,C,historical trend Rx1day,rx1day,ssp370,23,13,-0.051,0.8096,-0.134,0.656,0.9836,no,no
fractional,national,C,historical trend Rx1day,rx1day,ssp585,23,13,-0.058,0.796,-0.262,0.587,0.9836,no,no
fractional,national,C,historical trend Rx1day,r95p,ssp126,23,13,-0.095,0.6613,-0.122,0.855,0.9836,no,no
fractional,national,C,historical trend Rx1day,r95p,ssp245,23,13,-0.209,0.3491,-0.111,0.829,0.6752,no,no
fractional,national,C,historical trend Rx1day,r95p,ssp370,23,13,-0.042,0.858,-0.136,0.6,0.9836,no,no
fractional,national,C,historical trend Rx1day,r95p,ssp585,23,13,-0.079,0.7067,-0.213,0.635,0.9836,no,no
fractional,national,C,historical trend R95p,rx1day,ssp126,23,13,-0.11,0.5797,-0.135,0.782,0.9804,no,no
fractional,national,C,historical trend R95p,rx1day,ssp245,23,13,-0.14,0.5371,-0.168,0.748,0.9267,no,no
fractional,national,C,historical trend R95p,rx1day,ssp370,23,13,-0.059,0.7766,-0.153,0.635,0.9836,no,no
fractional,national,C,historical trend R95p,rx1day,ssp585,23,13,-0.079,0.7157,-0.253,0.663,0.9836,no,no
fractional,national,C,historical trend R95p,r95p,ssp126,23,13,-0.115,0.5609,-0.132,0.871,0.9584,no,no
fractional,national,C,historical trend R95p,r95p,ssp245,23,13,-0.109,0.6269,-0.168,0.71,0.9836,no,no
fractional,national,C,historical trend R95p,r95p,ssp370,23,13,-0.08,0.7289,-0.146,0.695,0.9836,no,no
fractional,national,C,historical trend R95p,r95p,ssp585,23,13,-0.09,0.6863,-0.217,0.686,0.9836,no,no
fractional,eastern,A,PFS,rx1day,ssp126,13,8,0.118,0.7285,-1.943,0.677,0.9836,no,no
fractional,eastern,A,PFS,rx1day,ssp245,13,8,0.361,0.2186,-0.746,0.959,0.5269,no,no
fractional,eastern,A,PFS,rx1day,ssp370,13,8,0.023,0.9486,-2.081,0.57,0.9836,no,no
fractional,eastern,A,PFS,rx1day,ssp585,13,8,-0.05,0.8818,-2.101,0.522,0.9836,no,no
fractional,eastern,A,PFS,r95p,ssp126,13,8,0.077,0.7848,-1.217,0.654,0.9836,no,no
fractional,eastern,A,PFS,r95p,ssp245,13,8,0.378,0.1896,-0.176,0.975,0.4766,no,no
fractional,eastern,A,PFS,r95p,ssp370,13,8,-0.074,0.8196,-0.549,0.616,0.9836,no,no
fractional,eastern,A,PFS,r95p,ssp585,13,8,-0.143,0.6737,-1.563,0.599,0.9836,no,no
fractional,eastern,B,Rx1day climatology,rx1day,ssp126,23,13,-0.856,0.0008,0.114,0.993,0.0302,yes,yes
fractional,eastern,B,Rx1day climatology,rx1day,ssp245,23,13,-0.298,0.161,-0.906,0.963,0.4166,no,yes
fractional,eastern,B,Rx1day climatology,rx1day,ssp370,23,13,-0.86,0.0006,0.227,0.995,0.0302,yes,yes
fractional,eastern,B,Rx1day climatology,rx1day,ssp585,23,13,-0.366,0.0874,-0.345,0.997,0.2452,no,yes
fractional,eastern,B,Rx1day climatology,r95p,ssp126,23,13,-0.834,0.002,-0.11,0.987,0.0352,no,yes
fractional,eastern,B,Rx1day climatology,r95p,ssp245,23,13,-0.295,0.1582,-0.624,0.975,0.4155,no,yes
fractional,eastern,B,Rx1day climatology,r95p,ssp370,23,13,-0.82,0.0052,-0.159,0.955,0.061,no,yes
fractional,eastern,B,Rx1day climatology,r95p,ssp585,23,13,-0.459,0.0224,0.016,0.992,0.1297,no,yes
fractional,eastern,B,R95p climatology,rx1day,ssp126,23,13,-0.891,0.0016,0.176,0.989,0.0313,yes,yes
fractional,eastern,B,R95p climatology,rx1day,ssp245,23,13,-0.061,0.7678,-0.396,0.641,0.9836,no,yes
fractional,eastern,B,R95p climatology,rx1day,ssp370,23,13,-0.835,0.0086,-0.1,0.895,0.0796,no,yes
fractional,eastern,B,R95p climatology,rx1day,ssp585,23,13,-0.072,0.7674,-0.159,0.705,0.9836,no,yes
fractional,eastern,B,R95p climatology,r95p,ssp126,23,13,-0.883,0.0014,-0.025,0.985,0.0308,no,yes
fractional,eastern,B,R95p climatology,r95p,ssp245,23,13,-0.136,0.4867,-0.385,0.856,0.8655,no,yes
fractional,eastern,B,R95p climatology,r95p,ssp370,23,13,-0.847,0.0188,-0.255,0.863,0.1141,no,yes
fractional,eastern,B,R95p climatology,r95p,ssp585,23,13,-0.283,0.1964,-0.085,0.878,0.48,no,yes
fractional,eastern,B,R99p climatology,rx1day,ssp126,23,13,-0.827,0.0078,-0.15,0.941,0.0782,no,yes
fractional,eastern,B,R99p climatology,rx1day,ssp245,23,13,0.008,0.9714,-0.193,0.518,0.9836,no,yes
fractional,eastern,B,R99p climatology,rx1day,ssp370,23,13,-0.777,0.024,-0.338,0.839,0.1297,no,yes
fractional,eastern,B,R99p climatology,rx1day,ssp585,23,13,0.005,0.9876,-0.276,0.516,0.9932,no,yes
fractional,eastern,B,R99p climatology,r95p,ssp126,23,13,-0.827,0.0132,-0.272,0.898,0.0943,no,yes
fractional,eastern,B,R99p climatology,r95p,ssp245,23,13,-0.062,0.7564,-0.157,0.697,0.9836,no,yes
fractional,eastern,B,R99p climatology,r95p,ssp370,23,13,-0.793,0.0304,-0.448,0.764,0.1297,no,yes
fractional,eastern,B,R99p climatology,r95p,ssp585,23,13,-0.182,0.4261,-0.324,0.744,0.7978,no,yes
fractional,eastern,B,tail concentration R95p/PRCPTOT,rx1day,ssp126,23,13,-0.908,0.0012,0.206,0.997,0.0302,yes,yes
fractional,eastern,B,tail concentration R95p/PRCPTOT,rx1day,ssp245,23,13,0.017,0.934,-0.264,0.527,0.9836,no,yes
fractional,eastern,B,tail concentration R95p/PRCPTOT,rx1day,ssp370,23,13,-0.848,0.017,-0.179,0.834,0.1068,no,yes
fractional,eastern,B,tail concentration R95p/PRCPTOT,rx1day,ssp585,23,13,-0.063,0.8092,-0.193,0.692,0.9836,no,yes
fractional,eastern,B,tail concentration R95p/PRCPTOT,r95p,ssp126,23,13,-0.9,0.0036,-0.055,0.991,0.0478,no,yes
fractional,eastern,B,tail concentration R95p/PRCPTOT,r95p,ssp245,23,13,-0.018,0.9324,-0.161,0.61,0.9836,no,yes
fractional,eastern,B,tail concentration R95p/PRCPTOT,r95p,ssp370,23,13,-0.86,0.0304,-0.412,0.742,0.1297,no,yes
fractional,eastern,B,tail concentration R95p/PRCPTOT,r95p,ssp585,23,13,-0.201,0.3721,-0.382,0.767,0.7119,no,yes
fractional,eastern,B,event duration Rx5day/Rx1day,rx1day,ssp126,23,13,0.676,0.0308,-0.556,0.724,0.1297,no,no
fractional,eastern,B,event duration Rx5day/Rx1day,rx1day,ssp245,23,13,-0.116,0.5905,-0.172,0.791,0.9804,no,no
fractional,eastern,B,event duration Rx5day/Rx1day,rx1day,ssp370,23,13,0.648,0.0356,-0.572,0.741,0.1297,no,no
fractional,eastern,B,event duration Rx5day/Rx1day,rx1day,ssp585,23,13,0.105,0.6425,-0.203,0.752,0.9836,no,no
fractional,eastern,B,event duration Rx5day/Rx1day,r95p,ssp126,23,13,0.712,0.027,-0.494,0.778,0.1297,no,no
fractional,eastern,B,event duration Rx5day/Rx1day,r95p,ssp245,23,13,-0.148,0.4785,-0.188,0.879,0.8655,no,no
fractional,eastern,B,event duration Rx5day/Rx1day,r95p,ssp370,23,13,0.684,0.0412,-0.556,0.682,0.1318,no,no
fractional,eastern,B,event duration Rx5day/Rx1day,r95p,ssp585,23,13,0.177,0.4249,-0.365,0.773,0.7978,no,no
fractional,eastern,B,wet-day frequency,rx1day,ssp126,23,13,-0.084,0.7139,-0.114,0.852,0.9836,no,no
fractional,eastern,B,wet-day frequency,rx1day,ssp245,23,13,-0.013,0.958,-0.207,0.537,0.9836,no,no
fractional,eastern,B,wet-day frequency,rx1day,ssp370,23,13,0.016,0.9432,-0.124,0.615,0.9836,no,no
fractional,eastern,B,wet-day frequency,rx1day,ssp585,23,13,0.149,0.4967,-0.22,0.791,0.8655,no,no
fractional,eastern,B,wet-day frequency,r95p,ssp126,23,13,-0.061,0.7646,-0.12,0.829,0.9836,no,no
fractional,eastern,B,wet-day frequency,r95p,ssp245,23,13,-0.035,0.8822,-0.145,0.544,0.9836,no,no
fractional,eastern,B,wet-day frequency,r95p,ssp370,23,13,-0.027,0.8902,-0.123,0.621,0.9836,no,no
fractional,eastern,B,wet-day frequency,r95p,ssp585,23,13,-0.009,0.9684,-0.237,0.529,0.9836,no,no
fractional,eastern,C,interannual variability Rx1day,rx1day,ssp126,23,13,-0.851,0.0122,-0.134,0.931,0.0933,no,no
fractional,eastern,C,interannual variability Rx1day,rx1day,ssp245,23,13,0.044,0.8264,-0.183,0.615,0.9836,no,no
fractional,eastern,C,interannual variability Rx1day,rx1day,ssp370,23,13,-0.816,0.0148,-0.243,0.847,0.1002,no,no
fractional,eastern,C,interannual variability Rx1day,rx1day,ssp585,23,13,-0.035,0.8862,-0.232,0.603,0.9836,no,no
fractional,eastern,C,interannual variability Rx1day,r95p,ssp126,23,13,-0.855,0.0134,-0.264,0.918,0.0943,no,no
fractional,eastern,C,interannual variability Rx1day,r95p,ssp245,23,13,-0.015,0.942,-0.132,0.514,0.9836,no,no
fractional,eastern,C,interannual variability Rx1day,r95p,ssp370,23,13,-0.828,0.0358,-0.432,0.737,0.1297,no,no
fractional,eastern,C,interannual variability Rx1day,r95p,ssp585,23,13,-0.166,0.4781,-0.477,0.748,0.8655,no,no
fractional,eastern,C,interannual variability R95p,rx1day,ssp126,23,13,-0.634,0.034,-0.518,0.7,0.1297,no,no
fractional,eastern,C,interannual variability R95p,rx1day,ssp245,23,13,0.427,0.0454,-0.146,0.998,0.1354,no,no
fractional,eastern,C,interannual variability R95p,rx1day,ssp370,23,13,-0.561,0.0432,-0.689,0.662,0.134,no,no
fractional,eastern,C,interannual variability R95p,rx1day,ssp585,23,13,0.358,0.0878,-0.306,0.971,0.2452,no,no
fractional,eastern,C,interannual variability R95p,r95p,ssp126,23,13,-0.67,0.0268,-0.429,0.74,0.1297,no,no
fractional,eastern,C,interannual variability R95p,r95p,ssp245,23,13,0.254,0.2406,-0.095,0.982,0.5482,no,no
fractional,eastern,C,interannual variability R95p,r95p,ssp370,23,13,-0.629,0.0374,-0.552,0.643,0.1297,no,no
fractional,eastern,C,interannual variability R95p,r95p,ssp585,23,13,0.115,0.6161,-0.44,0.717,0.9836,no,no
fractional,eastern,C,historical trend Rx1day,rx1day,ssp126,23,13,-0.043,0.8152,-0.141,0.6,0.9836,no,no
fractional,eastern,C,historical trend Rx1day,rx1day,ssp245,23,13,0.049,0.8342,-0.249,0.56,0.9836,no,no
fractional,eastern,C,historical trend Rx1day,rx1day,ssp370,23,13,0.01,0.9626,-0.15,0.594,0.9836,no,no
fractional,eastern,C,historical trend Rx1day,rx1day,ssp585,23,13,-0.01,0.9628,-0.216,0.506,0.9836,no,no
fractional,eastern,C,historical trend Rx1day,r95p,ssp126,23,13,-0.053,0.7688,-0.138,0.674,0.9836,no,no
fractional,eastern,C,historical trend Rx1day,r95p,ssp245,23,13,0.106,0.6277,-0.189,0.691,0.9836,no,no
fractional,eastern,C,historical trend Rx1day,r95p,ssp370,23,13,0.009,0.9562,-0.144,0.629,0.9836,no,no
fractional,eastern,C,historical trend Rx1day,r95p,ssp585,23,13,0.035,0.873,-0.215,0.599,0.9836,no,no
fractional,eastern,C,historical trend R95p,rx1day,ssp126,23,13,-0.109,0.2971,-0.145,0.776,0.6226,no,no
fractional,eastern,C,historical trend R95p,rx1day,ssp245,23,13,0.009,0.967,-0.339,0.572,0.9836,no,no
fractional,eastern,C,historical trend R95p,rx1day,ssp370,23,13,-0.115,0.3347,-0.151,0.778,0.6695,no,no
fractional,eastern,C,historical trend R95p,rx1day,ssp585,23,13,-0.23,0.2915,-0.099,0.91,0.6182,no,no
fractional,eastern,C,historical trend R95p,r95p,ssp126,23,13,-0.11,0.2571,-0.143,0.804,0.5657,no,no
fractional,eastern,C,historical trend R95p,r95p,ssp245,23,13,-0.007,0.9724,-0.308,0.482,0.9836,no,no
fractional,eastern,C,historical trend R95p,r95p,ssp370,23,13,-0.099,0.2783,-0.148,0.733,0.6048,no,no
fractional,eastern,C,historical trend R95p,r95p,ssp585,23,13,-0.211,0.3339,-0.131,0.895,0.6695,no,no
