predictand_form,domain,predictor_family,predictor,index,scenario,n_models,n_families,r,permutation_p,LOFO_skill,bootstrap_sign_stability,q_BH,satisfies_all_criteria,predictor_enters_predictand
absolute,national,B,event duration Rx5day/Rx1day,r95p,ssp370,23,13,0.3,0.1482,-0.887,0.636,0.4275,no,no
absolute,national,B,event duration Rx5day/Rx1day,r95p,ssp585,23,13,-0.123,0.5897,-0.27,0.772,0.9668,no,no
absolute,national,B,wet-day frequency,rx1day,ssp126,23,13,-0.183,0.3995,-0.229,0.809,0.8575,no,no
absolute,national,B,wet-day frequency,rx1day,ssp245,23,13,-0.17,0.4415,-0.183,0.806,0.8647,no,no
absolute,national,B,wet-day frequency,rx1day,ssp370,23,13,-0.071,0.7538,-0.244,0.639,0.997,no,no
absolute,national,B,wet-day frequency,rx1day,ssp585,23,13,-0.046,0.8328,-0.252,0.59,0.997,no,no
absolute,national,B,wet-day frequency,r95p,ssp126,23,13,-0.174,0.4471,-0.182,0.849,0.8647,no,no
absolute,national,B,wet-day frequency,r95p,ssp245,23,13,-0.273,0.207,-0.093,0.901,0.5519,no,no
absolute,national,B,wet-day frequency,r95p,ssp370,23,13,-0.12,0.5929,-0.218,0.758,0.9668,no,no
absolute,national,B,wet-day frequency,r95p,ssp585,23,13,-0.175,0.4201,-0.191,0.817,0.8647,no,no
absolute,national,C,interannual variability Rx1day,rx1day,ssp126,23,13,-0.5,0.034,-0.305,0.76,0.1631,no,no
absolute,national,C,interannual variability Rx1day,rx1day,ssp245,23,13,0.177,0.4315,-0.148,0.878,0.8647,no,no
absolute,national,C,interannual variability Rx1day,rx1day,ssp370,23,13,-0.424,0.0458,-0.27,0.776,0.1791,no,no
absolute,national,C,interannual variability Rx1day,rx1day,ssp585,23,13,0.173,0.4563,-0.148,0.895,0.8647,no,no
absolute,national,C,interannual variability Rx1day,r95p,ssp126,23,13,-0.516,0.0366,-0.332,0.72,0.1631,no,no
absolute,national,C,interannual variability Rx1day,r95p,ssp245,23,13,0.122,0.5763,-0.138,0.825,0.9668,no,no
absolute,national,C,interannual variability Rx1day,r95p,ssp370,23,13,-0.478,0.0412,-0.457,0.726,0.1648,no,no
absolute,national,C,interannual variability Rx1day,r95p,ssp585,23,13,0.179,0.4355,-0.151,0.889,0.8647,no,no
absolute,national,C,interannual variability R95p,rx1day,ssp126,23,13,-0.358,0.092,-0.347,0.717,0.3174,no,no
absolute,national,C,interannual variability R95p,rx1day,ssp245,23,13,0.321,0.1414,-0.043,0.986,0.4147,no,no
absolute,national,C,interannual variability R95p,rx1day,ssp370,23,13,-0.215,0.3105,-0.42,0.649,0.7196,no,no
absolute,national,C,interannual variability R95p,rx1day,ssp585,23,13,0.336,0.1096,-0.063,0.981,0.3709,no,no
absolute,national,C,interannual variability R95p,r95p,ssp126,23,13,-0.402,0.0666,-0.247,0.714,0.2392,no,no
absolute,national,C,interannual variability R95p,r95p,ssp245,23,13,0.164,0.4569,-0.109,0.901,0.8647,no,no
absolute,national,C,interannual variability R95p,r95p,ssp370,23,13,-0.329,0.1248,-0.416,0.696,0.4006,no,no
absolute,national,C,interannual variability R95p,r95p,ssp585,23,13,0.243,0.2755,-0.126,0.912,0.6643,no,no
absolute,national,C,historical trend Rx1day,rx1day,ssp126,23,13,-0.122,0.5793,-0.199,0.76,0.9668,no,no
absolute,national,C,historical trend Rx1day,rx1day,ssp245,23,13,-0.176,0.4099,-0.142,0.822,0.8647,no,no
absolute,national,C,historical trend Rx1day,rx1day,ssp370,23,13,-0.01,0.9654,-0.183,0.526,0.997,no,no
absolute,national,C,historical trend Rx1day,rx1day,ssp585,23,13,-0.076,0.7391,-0.239,0.631,0.997,no,no
absolute,national,C,historical trend Rx1day,r95p,ssp126,23,13,-0.1,0.6541,-0.172,0.742,0.9926,no,no
absolute,national,C,historical trend Rx1day,r95p,ssp245,23,13,-0.161,0.4711,-0.151,0.762,0.8821,no,no
absolute,national,C,historical trend Rx1day,r95p,ssp370,23,13,0.066,0.7698,-0.189,0.696,0.997,no,no
absolute,national,C,historical trend Rx1day,r95p,ssp585,23,13,-0.023,0.92,-0.221,0.535,0.997,no,no
